"Josefine_Mutzenbacher_1" "Josefine_Mutzenbacher_2" "Josefine_Mutzenbacher_3" "Josefine_Mutzenbacher_4" "Josefine_Mutzenbacher_5" "Josefine_Mutzenbacher_6" "Josefine_Mutzenbacher_7" "Josefine_Mutzenbacher_8" "Josefine_Mutzenbacher_9" "Josefine_Mutzenbacher_10" "Josefine_Mutzenbacher_11" "Josefine_Mutzenbacher_12" "Josefine_Mutzenbacher_13" "Josefine_Mutzenbacher_14" "Josefine_Mutzenbacher_15" "Josefine_Mutzenbacher_16" "Josefine_Mutzenbacher_17" "Josefine_Mutzenbacher_18" "Josefine_Mutzenbacher_19" "Josefine_Mutzenbacher_20" "Josefine_Mutzenbacher_21" "Josefine_Mutzenbacher_22" "Josefine_Mutzenbacher_23" "Josefine_Mutzenbacher_24" "Josefine_Mutzenbacher_25" "Josefine_Mutzenbacher_26" "Josefine_Mutzenbacher_27" "Josefine_Mutzenbacher_28" "Josefine_Mutzenbacher_29" "Josefine_Mutzenbacher_30" "Josefine_Mutzenbacher_31" "Josefine_Mutzenbacher_32" "Josefine_Mutzenbacher_33" "Josefine_Mutzenbacher_34" "Josefine_Mutzenbacher_35" "Josefine_Mutzenbacher_36" "Josefine_Mutzenbacher_37" "Josefine_Mutzenbacher_38" "Josefine_Mutzenbacher_39" "Josefine_Mutzenbacher_40" "Josefine_Mutzenbacher_41" "Josefine_Mutzenbacher_42" "Josefine_Mutzenbacher_43" "Josefine_Mutzenbacher_44" "Josefine_Mutzenbacher_45" "Josefine_Mutzenbacher_46" "Josefine_Mutzenbacher_47" "Josefine_Mutzenbacher_48" "Josefine_Mutzenbacher_49" "Josefine_Mutzenbacher_50" "Josefine_Mutzenbacher_51" "Josefine_Mutzenbacher_52" "Josefine_Mutzenbacher_53" "Josefine_Mutzenbacher_54" "Josefine_Mutzenbacher_55" "Josefine_Mutzenbacher_56" "Josefine_Mutzenbacher_57" "Josefine_Mutzenbacher_58" "Josefine_Mutzenbacher_59" "Josefine_Mutzenbacher_60" "Josefine_Mutzenbacher_61" "Josefine_Mutzenbacher_62" "Josefine_Mutzenbacher_63" "Josefine_Mutzenbacher_64" "Josefine_Mutzenbacher_65" "Josefine_Mutzenbacher_66" "Josefine_Mutzenbacher_67" "Josefine_Mutzenbacher_68" "Josefine_Mutzenbacher_69" "Josefine_Mutzenbacher_70" "Josefine_Mutzenbacher_71" "Josefine_Mutzenbacher_72" "Josefine_Mutzenbacher_73" "Josefine_Mutzenbacher_74" "Josefine_Mutzenbacher_75" "Josefine_Mutzenbacher_76" "Josefine_Mutzenbacher_77" "Josefine_Mutzenbacher_78" "Josefine_Mutzenbacher_79" "Josefine_Mutzenbacher_80" "Josefine_Mutzenbacher_81" "Josefine_Mutzenbacher_82" "Josefine_Mutzenbacher_83" "Josefine_Mutzenbacher_84" "Josefine_Mutzenbacher_85" "Josefine_Mutzenbacher_86" "Josefine_Mutzenbacher_87" "Josefine_Mutzenbacher_88" "Josefine_Mutzenbacher_89" "Josefine_Mutzenbacher_90" "Josefine_Mutzenbacher_91" "Josefine_Mutzenbacher_92" "Josefine_Mutzenbacher_93" "Josefine_Mutzenbacher_94" "Josefine_Mutzenbacher_95" "Josefine_Mutzenbacher_96" "Josefine_Mutzenbacher_97" "Josefine_Mutzenbacher_98" "Josefine_Mutzenbacher_99" "Josefine_Mutzenbacher_100" "Josefine_Mutzenbacher_101" "Josefine_Mutzenbacher_102" "Josefine_Mutzenbacher_103" "Josefine_Mutzenbacher_104" "Josefine_Mutzenbacher_105" "Josefine_Mutzenbacher_106" "Josefine_Mutzenbacher_107" "Josefine_Mutzenbacher_108" "Josefine_Mutzenbacher_109" "Josefine_Mutzenbacher_110" "Josefine_Mutzenbacher_111" "Josefine_Mutzenbacher_112" "Josefine_Mutzenbacher_113" "Josefine_Mutzenbacher_114" "Josefine_Mutzenbacher_115" "Josefine_Mutzenbacher_116" "Josefine_Mutzenbacher_117" "Josefine_Mutzenbacher_118" "Josefine_Mutzenbacher_119" "Josefine_Mutzenbacher_120" "Josefine_Mutzenbacher_121" "Josefine_Mutzenbacher_122" "Josefine_Mutzenbacher_123" "Josefine_Mutzenbacher_124" "Josefine_Mutzenbacher_125"
"sich" 1.06 1.12 1.14 1.18 1.24 1.28 1.34 1.32 1.18 0.98 0.92 0.86 0.8 0.72 0.7 0.64 0.54 0.64 0.58 0.56 0.6 0.64 0.68 0.72 0.7 0.6 0.62 0.6 0.76 0.76 0.74 0.8 0.86 0.88 0.88 0.98 1.12 1.16 1.08 1.04 1.04 0.96 0.9 0.8 0.74 0.66 0.62 0.58 0.62 0.8 0.86 0.86 0.92 1 1.06 1.06 0.9 0.84 0.72 0.58 0.5 0.5 0.48 0.44 0.36 0.38 0.4 0.44 0.56 0.56 0.52 0.58 0.56 0.58 0.6 0.64 0.62 0.62 0.56 0.58 0.64 0.6 0.54 0.56 0.58 0.54 0.54 0.56 0.62 0.6 0.56 0.56 0.66 0.66 0.68 0.68 0.84 0.92 0.92 0.92 0.98 1.02 1.06 1.08 1.14 1.2 1.18 1.08 1.04 1.08 1.16 1.2 1.14 1.08 0.98 0.94 0.84 0.86 0.78 0.72 0.56 0.44 0.4 0.38 0.4
"es" 0.66 0.64 0.62 0.66 0.7 0.74 0.82 0.82 0.82 0.84 0.92 0.9 0.9 0.9 0.86 0.86 0.78 0.76 0.68 0.66 0.56 0.66 0.6 0.62 0.56 0.56 0.68 0.72 0.76 0.82 0.78 0.74 0.72 0.72 0.78 0.7 0.62 0.66 0.64 0.66 0.68 0.76 0.8 0.9 0.92 1.02 1 0.96 0.94 0.9 0.9 0.8 0.82 0.72 0.76 0.78 0.78 0.78 0.82 0.78 0.82 0.86 0.84 0.78 0.74 0.64 0.64 0.6 0.6 0.62 0.56 0.6 0.62 0.64 0.7 0.8 0.84 0.82 0.8 0.88 0.94 0.86 0.8 0.86 0.72 0.68 0.68 0.72 0.76 0.7 0.64 0.64 0.7 0.6 0.62 0.72 0.74 0.7 0.62 0.58 0.62 0.64 0.62 0.62 0.68 0.6 0.56 0.6 0.62 0.68 0.68 0.7 0.72 0.74 0.68 0.6 0.54 0.58 0.64 0.66 0.68 0.58 0.54 0.56 0.6
"den" 0.78 0.78 0.88 0.92 0.94 0.94 0.94 0.92 0.9 0.9 0.86 0.84 0.72 0.62 0.54 0.62 0.66 0.64 0.66 0.62 0.64 0.72 0.74 0.84 0.98 1 0.92 1 0.98 1 0.92 1.04 1.08 1 0.78 0.68 0.68 0.74 0.74 0.9 0.96 0.78 0.84 0.88 0.92 0.9 0.96 0.9 0.9 0.8 0.84 0.84 0.8 0.84 0.88 1.06 1.04 1 0.98 1 0.92 0.92 1.04 1.06 1 0.84 0.82 0.76 0.84 0.78 0.9 0.98 0.84 0.8 0.84 0.9 0.9 0.98 0.9 0.86 0.82 0.82 0.8 0.8 0.84 0.78 0.76 0.84 0.84 0.82 0.84 0.72 0.7 0.66 0.7 0.74 0.82 0.68 0.7 0.76 0.72 0.84 0.88 0.9 0.82 0.84 0.78 0.9 0.92 0.96 1 0.96 0.96 0.98 1 1.04 1.02 0.98 1 1 0.88 0.88 0.9 0.86 0.88
"ein" 0.76 0.64 0.56 0.52 0.52 0.46 0.42 0.48 0.56 0.6 0.58 0.64 0.76 0.88 0.86 0.9 0.92 0.86 0.78 0.8 0.82 0.82 0.74 0.64 0.62 0.62 0.62 0.7 0.8 0.72 0.7 0.66 0.74 0.7 0.72 0.66 0.62 0.52 0.44 0.44 0.42 0.4 0.28 0.32 0.38 0.46 0.52 0.62 0.7 0.72 0.74 0.76 0.86 0.78 0.7 0.78 0.74 0.76 0.72 0.76 0.78 0.82 0.74 0.78 0.72 0.68 0.72 0.62 0.56 0.5 0.5 0.48 0.56 0.62 0.62 0.54 0.56 0.64 0.68 0.74 0.78 0.82 0.76 0.72 0.76 0.74 0.7 0.68 0.7 0.62 0.6 0.56 0.54 0.54 0.54 0.52 0.54 0.5 0.48 0.64 0.64 0.72 0.74 0.7 0.74 0.86 0.88 0.92 0.98 0.84 0.82 0.74 0.74 0.72 0.68 0.58 0.56 0.56 0.46 0.5 0.48 0.44 0.44 0.52 0.54
"mit" 1.12 1.14 1.22 1.18 1.24 1.28 1.24 1.18 1.24 1.12 0.98 1.1 1.04 1.14 1.08 1 1.04 1.04 0.88 0.94 1.06 0.98 0.96 0.9 0.98 1.14 1.18 1.3 1.44 1.38 1.4 1.46 1.54 1.5 1.48 1.4 1.32 1.2 1.1 1.16 1.04 1.02 1 1.02 0.94 0.84 0.84 0.94 0.98 0.9 0.88 0.78 0.72 0.78 0.86 0.9 1.06 0.96 0.92 1.06 1.12 1.2 1.26 1.36 1.34 1.3 1.26 1.26 1.32 1.34 1.26 1.26 1.24 1.08 1.14 1.18 1.12 1.1 1.12 1.02 1.02 1.04 1.12 1.12 1.06 1.06 1.04 1.12 1.04 0.98 0.94 0.88 0.88 0.96 0.98 0.96 0.96 0.94 0.9 0.96 1.06 1.02 0.98 0.98 0.98 1.06 1.04 1.02 1.02 1 0.9 0.92 0.86 0.76 0.7 0.76 0.78 0.76 0.74 0.66 0.74 0.66 0.62 0.58 0.64
"ist" 0.22 0.22 0.22 0.22 0.26 0.2 0.2 0.18 0.18 0.14 0.16 0.16 0.18 0.2 0.14 0.24 0.26 0.22 0.22 0.26 0.28 0.3 0.34 0.36 0.36 0.28 0.28 0.28 0.28 0.32 0.32 0.3 0.28 0.26 0.26 0.24 0.2 0.2 0.2 0.1 0.2 0.26 0.22 0.26 0.34 0.36 0.42 0.42 0.6 0.74 0.68 0.66 0.7 0.68 0.64 0.66 0.64 0.64 0.58 0.5 0.44 0.56 0.56 0.58 0.58 0.64 0.74 0.9 0.82 0.78 0.78 0.62 0.58 0.52 0.5 0.5 0.46 0.32 0.32 0.3 0.4 0.46 0.46 0.48 0.52 0.44 0.4 0.4 0.42 0.44 0.38 0.38 0.42 0.42 0.44 0.44 0.4 0.44 0.46 0.5 0.5 0.46 0.44 0.42 0.34 0.32 0.34 0.32 0.28 0.26 0.28 0.28 0.3 0.44 0.66 0.66 0.74 0.84 0.86 0.98 1.06 1.14 1.26 1.22 1.02
"von" 0.64 0.62 0.56 0.6 0.6 0.6 0.58 0.62 0.54 0.64 0.7 0.66 0.62 0.6 0.62 0.58 0.54 0.48 0.48 0.46 0.38 0.38 0.38 0.38 0.34 0.4 0.4 0.42 0.44 0.36 0.38 0.46 0.46 0.46 0.5 0.44 0.52 0.52 0.52 0.62 0.64 0.68 0.66 0.82 0.76 0.9 0.82 0.82 0.74 0.64 0.66 0.7 0.78 0.7 0.72 0.66 0.68 0.64 0.7 0.76 0.72 0.56 0.54 0.48 0.54 0.5 0.52 0.54 0.56 0.56 0.52 0.54 0.52 0.48 0.48 0.6 0.62 0.64 0.66 0.7 0.76 0.84 0.92 0.92 0.86 0.78 0.8 0.78 0.7 0.62 0.58 0.52 0.48 0.52 0.5 0.42 0.34 0.34 0.42 0.44 0.48 0.42 0.34 0.38 0.42 0.52 0.52 0.52 0.46 0.46 0.5 0.58 0.58 0.48 0.46 0.42 0.52 0.54 0.52 0.58 0.54 0.46 0.44 0.46 0.5
"war" 1.06 1.18 1.12 1.04 1.12 1.14 1.16 1.24 1.26 1.22 1.26 1.22 1.3 1.38 1.38 1.24 1.26 1.2 1.12 1.1 1.06 1.12 1 0.86 0.74 0.86 1 1.02 1.02 0.96 0.92 0.78 0.88 1.02 1.16 1.12 0.92 0.9 0.98 1 0.96 1.06 0.98 0.9 0.88 0.94 1 0.94 0.8 0.78 0.8 0.76 0.72 0.64 0.48 0.54 0.62 0.72 0.74 0.8 0.98 1.04 1.08 1.16 1.3 1.16 1.06 1.1 1.16 1.14 1 1.02 1.16 1.18 1.1 1.08 1.08 0.96 0.96 0.88 0.9 0.94 0.82 0.8 0.8 0.84 0.86 0.94 0.94 1 1.06 0.94 0.9 0.86 0.84 0.88 0.8 0.82 0.8 0.86 0.92 0.98 1 1.02 1 0.92 1.04 0.98 1 0.94 0.76 0.7 0.7 0.64 0.68 0.72 0.62 0.72 0.8 0.76 0.82 0.86 0.84 0.86 0.9
"auf" 1.06 1.12 1.1 1.1 1 1.08 1.02 1.08 1.08 1.04 1.1 1.08 1.02 1.04 1.04 0.94 0.94 0.9 0.84 0.86 0.78 0.78 0.76 0.8 0.78 0.82 0.88 0.92 1 1 1 1.02 1.06 1 0.96 0.88 0.9 0.86 0.84 0.8 0.84 0.84 0.84 0.82 0.88 0.88 0.74 0.82 0.8 0.92 0.9 0.82 0.82 0.9 0.96 1.04 1.06 0.92 0.88 0.82 0.78 0.82 0.9 0.9 0.78 0.78 0.84 0.9 0.96 0.98 1.06 1.1 1.1 1.16 1.14 1.04 1.06 1.04 1.08 1.02 0.94 0.9 0.74 0.62 0.7 0.8 0.72 0.74 0.68 0.66 0.66 0.78 0.8 0.82 0.8 0.72 0.82 0.74 0.66 0.72 0.82 0.74 0.8 0.84 0.84 1.06 1.14 1.18 1.18 1.24 1.14 1.16 1.2 1.12 1.1 1.04 1.02 1.06 1.08 0.96 0.92 0.82 0.68 0.64 0.66
"wie" 0.74 0.8 0.84 0.9 0.84 0.9 0.86 0.88 0.84 0.84 0.9 0.8 0.8 0.72 0.78 0.74 0.78 0.74 0.9 0.92 0.98 1.04 1 1.08 1.06 0.96 0.96 1.02 0.92 0.84 0.78 0.96 1 0.98 0.94 1 1.02 0.92 0.88 1 0.98 0.82 0.82 0.8 0.94 1.02 1.02 1.04 1.1 1.04 1.06 0.98 0.96 0.98 0.92 0.8 0.76 0.74 0.62 0.66 0.72 0.84 0.82 0.78 0.74 0.9 0.94 1.06 1.16 1.1 1.06 1.02 1 0.98 0.94 0.9 0.84 0.78 0.64 0.58 0.52 0.48 0.52 0.54 0.58 0.46 0.5 0.44 0.46 0.5 0.46 0.54 0.54 0.52 0.46 0.48 0.5 0.5 0.5 0.48 0.52 0.48 0.48 0.46 0.54 0.56 0.6 0.62 0.62 0.66 0.68 0.72 0.68 0.78 0.76 0.74 0.62 0.66 0.66 0.64 0.64 0.58 0.64 0.6 0.58
"so" 0.46 0.5 0.6 0.64 0.66 0.68 0.72 0.76 0.86 0.88 0.94 0.94 0.92 0.92 0.96 1.12 1.04 1.06 1.02 0.94 0.98 1.1 1.16 1.18 1.2 1.1 1.12 1.16 1.26 1.36 1.34 1.28 1.16 1.18 1.08 1.08 1.08 0.98 0.88 0.92 1.02 1.04 1.04 1.18 1.24 1.22 1.28 1.42 1.52 1.54 1.44 1.34 1.4 1.34 1.34 1.32 1.26 1.14 1 0.92 1.02 1.28 1.28 1.2 1.16 1.2 1.2 1.28 1.4 1.36 1.3 1.24 1.22 1.16 1.22 1.16 1.2 1.22 1.18 1.24 1.2 0.96 1 1.04 1.04 1.1 1.04 1.04 0.94 0.88 0.82 0.86 0.92 0.92 0.88 0.9 0.92 0.86 0.96 0.92 1.08 1.12 1.08 1.04 0.96 0.86 0.86 0.82 0.78 0.86 0.84 0.78 0.76 0.9 0.98 1.12 1.18 1.2 1.26 1.3 1.2 1.24 1.24 1.08 1.06
"dass" 0.9 0.98 1.06 1.12 1.08 1 1.02 1.04 1.02 1.06 1.06 0.98 0.98 0.98 0.9 0.96 0.86 0.86 0.86 0.8 0.74 0.88 0.8 0.76 0.76 0.72 0.8 0.8 0.88 0.9 0.94 0.9 0.86 0.88 0.86 0.86 0.88 0.86 0.76 0.84 0.9 0.8 0.86 0.84 0.84 0.84 0.8 0.76 0.74 0.66 0.6 0.66 0.68 0.7 0.7 0.66 0.58 0.66 0.74 0.72 0.72 0.64 0.6 0.58 0.58 0.6 0.72 0.66 0.62 0.64 0.72 0.86 0.84 0.8 0.76 0.82 0.7 0.74 0.7 0.78 0.62 0.52 0.56 0.62 0.7 0.56 0.62 0.6 0.62 0.56 0.62 0.6 0.52 0.5 0.44 0.5 0.5 0.46 0.46 0.42 0.4 0.42 0.42 0.48 0.5 0.5 0.52 0.5 0.48 0.46 0.56 0.6 0.64 0.62 0.56 0.58 0.52 0.56 0.6 0.62 0.58 0.48 0.44 0.38 0.4
"dem" 0.42 0.42 0.48 0.48 0.48 0.5 0.54 0.58 0.58 0.56 0.5 0.5 0.48 0.58 0.62 0.58 0.5 0.46 0.44 0.54 0.56 0.6 0.58 0.48 0.46 0.46 0.46 0.5 0.48 0.4 0.46 0.42 0.4 0.42 0.36 0.36 0.36 0.4 0.4 0.44 0.36 0.36 0.36 0.34 0.36 0.4 0.38 0.28 0.24 0.2 0.28 0.28 0.28 0.3 0.32 0.38 0.48 0.48 0.52 0.56 0.52 0.56 0.58 0.7 0.74 0.66 0.68 0.7 0.7 0.66 0.62 0.54 0.56 0.42 0.38 0.4 0.34 0.3 0.32 0.34 0.36 0.38 0.36 0.4 0.38 0.4 0.38 0.38 0.38 0.38 0.34 0.42 0.48 0.46 0.5 0.46 0.46 0.46 0.4 0.42 0.44 0.44 0.42 0.38 0.36 0.32 0.34 0.42 0.44 0.46 0.44 0.36 0.32 0.32 0.3 0.46 0.42 0.44 0.44 0.36 0.42 0.44 0.42 0.46 0.54
"an" 0.66 0.66 0.7 0.72 0.76 0.8 0.72 0.76 0.92 0.86 0.76 0.78 0.74 0.82 0.8 0.84 0.84 0.88 0.8 0.84 0.86 0.92 0.9 0.9 0.84 0.9 0.96 0.92 0.88 0.86 0.86 0.76 0.78 0.74 0.76 0.66 0.7 0.66 0.64 0.66 0.7 0.74 0.8 0.74 0.78 0.72 0.6 0.6 0.54 0.48 0.46 0.46 0.44 0.56 0.52 0.54 0.58 0.72 0.8 0.96 0.94 0.9 0.88 0.84 0.8 0.84 0.8 0.66 0.64 0.5 0.54 0.58 0.58 0.56 0.62 0.62 0.64 0.66 0.6 0.68 0.66 0.72 0.78 0.78 0.82 0.78 0.74 0.76 0.82 0.78 0.78 0.72 0.62 0.6 0.54 0.54 0.64 0.58 0.52 0.58 0.6 0.64 0.72 0.84 0.92 0.96 0.86 0.88 0.86 0.86 0.88 0.88 0.84 0.7 0.6 0.56 0.64 0.66 0.66 0.6 0.5 0.4 0.36 0.34 0.36
"als" 0.62 0.54 0.52 0.5 0.52 0.54 0.6 0.5 0.52 0.42 0.44 0.48 0.48 0.54 0.54 0.54 0.46 0.5 0.44 0.46 0.42 0.36 0.36 0.26 0.22 0.2 0.28 0.24 0.22 0.22 0.22 0.24 0.26 0.26 0.36 0.42 0.36 0.4 0.42 0.46 0.44 0.46 0.5 0.52 0.54 0.46 0.46 0.42 0.42 0.34 0.34 0.34 0.3 0.28 0.18 0.26 0.32 0.36 0.34 0.32 0.34 0.32 0.4 0.44 0.46 0.38 0.3 0.26 0.28 0.3 0.3 0.38 0.34 0.3 0.28 0.32 0.4 0.42 0.5 0.64 0.64 0.58 0.52 0.58 0.56 0.52 0.46 0.44 0.36 0.24 0.22 0.22 0.26 0.22 0.28 0.34 0.34 0.38 0.42 0.4 0.46 0.5 0.58 0.58 0.56 0.56 0.62 0.64 0.58 0.56 0.5 0.5 0.36 0.36 0.34 0.32 0.32 0.28 0.3 0.3 0.3 0.22 0.22 0.18 0.18
"aber" 0.92 0.98 0.96 1 1.04 1.02 0.94 0.92 0.92 0.88 0.86 0.84 0.92 0.82 0.82 0.8 0.82 0.86 0.84 0.86 0.86 0.94 1.02 1.08 1.08 1.2 1.22 1.16 1.16 1.22 1.16 1.06 0.96 1.06 1.08 0.98 0.98 0.98 1 0.96 1.02 1.04 1 0.9 0.9 0.92 0.96 0.96 0.88 0.82 0.8 0.76 0.78 0.76 0.7 0.68 0.64 0.64 0.74 0.76 0.72 0.74 0.72 0.68 0.68 0.76 0.68 0.68 0.62 0.64 0.68 0.64 0.64 0.7 0.8 0.78 0.86 0.86 0.9 0.88 0.82 0.88 0.88 0.84 0.72 0.64 0.6 0.6 0.64 0.72 0.74 0.68 0.66 0.62 0.74 0.8 0.78 0.76 0.76 0.7 0.68 0.7 0.74 0.8 0.74 0.74 0.76 0.8 0.76 0.72 0.84 0.9 0.88 0.86 0.92 0.94 0.94 0.86 0.84 0.9 0.9 0.82 0.8 0.9 0.8
"ihr" 0.6 0.6 0.7 0.68 0.62 0.62 0.62 0.68 0.52 0.5 0.46 0.4 0.3 0.34 0.4 0.44 0.4 0.42 0.46 0.52 0.5 0.5 0.5 0.44 0.38 0.26 0.24 0.2 0.26 0.24 0.3 0.34 0.4 0.38 0.42 0.56 0.6 0.54 0.44 0.4 0.34 0.3 0.24 0.24 0.2 0.1 0.14 0.2 0.22 0.26 0.34 0.36 0.54 0.6 0.6 0.58 0.54 0.48 0.46 0.42 0.34 0.32 0.14 0.08 0.1 0.08 0.04 0.08 0.1 0.1 0.1 0.1 0.18 0.22 0.18 0.18 0.18 0.16 0.14 0.14 0.14 0.14 0.08 0.04 0.06 0.06 0.06 0.04 0.04 0.04 0.06 0.1 0.1 0.16 0.14 0.18 0.2 0.2 0.24 0.24 0.22 0.2 0.18 0.16 0.18 0.2 0.18 0.18 0.2 0.2 0.28 0.42 0.52 0.54 0.56 0.62 0.66 0.68 0.62 0.66 0.58 0.42 0.44 0.38 0.34
"du" 0.22 0.24 0.26 0.3 0.32 0.3 0.3 0.28 0.28 0.32 0.38 0.48 0.48 0.4 0.38 0.32 0.3 0.38 0.46 0.5 0.52 0.4 0.6 0.7 0.74 0.74 0.76 0.66 0.58 0.58 0.52 0.52 0.32 0.34 0.4 0.6 0.58 0.56 0.58 0.5 0.58 0.74 0.9 0.86 0.84 0.64 0.64 0.72 0.7 0.8 0.74 0.74 0.58 0.6 0.64 0.64 0.74 0.82 1.14 1.3 1.52 1.46 1.5 1.44 1.42 1.42 1.42 1.28 0.98 0.94 0.74 0.66 0.62 0.68 0.8 0.84 0.88 0.98 0.96 0.76 0.7 0.7 0.7 0.62 0.52 0.6 0.6 0.52 0.52 0.6 0.62 0.62 0.68 0.7 0.72 0.66 0.52 0.54 0.54 0.46 0.44 0.46 0.4 0.92 1.08 1.06 1.14 1.16 1.24 1.34 1.44 1.52 1.84 1.4 1.26 1.26 1.2 1.26 1.38 1.34 1.46 1.46 1.26 1.4 1.36
"eine" 0.44 0.44 0.4 0.4 0.36 0.4 0.34 0.34 0.36 0.34 0.3 0.28 0.32 0.34 0.36 0.32 0.34 0.34 0.3 0.32 0.3 0.32 0.32 0.34 0.26 0.26 0.24 0.22 0.32 0.32 0.38 0.4 0.4 0.36 0.4 0.4 0.42 0.4 0.38 0.34 0.32 0.28 0.28 0.3 0.28 0.34 0.4 0.44 0.38 0.4 0.42 0.44 0.4 0.38 0.4 0.32 0.32 0.4 0.42 0.44 0.4 0.38 0.42 0.4 0.42 0.44 0.4 0.28 0.3 0.3 0.32 0.34 0.3 0.4 0.34 0.36 0.32 0.34 0.36 0.34 0.36 0.36 0.34 0.26 0.28 0.26 0.32 0.32 0.28 0.28 0.28 0.28 0.28 0.3 0.28 0.28 0.24 0.28 0.28 0.32 0.36 0.36 0.38 0.36 0.38 0.36 0.36 0.34 0.38 0.38 0.28 0.28 0.3 0.32 0.34 0.4 0.42 0.38 0.32 0.26 0.28 0.32 0.34 0.32 0.3
"mir" 0.78 0.8 0.82 0.78 0.72 0.56 0.54 0.48 0.66 0.92 1.18 1.34 1.44 1.44 1.4 1.58 1.7 1.92 1.9 1.84 1.62 1.54 1.6 1.66 1.74 1.74 1.86 1.66 1.52 1.44 1.58 1.54 1.38 1.44 1.42 1.4 1.16 1.18 1.28 1.38 1.32 1.38 1.52 1.6 1.64 1.58 1.64 1.6 1.68 1.54 1.5 1.46 1.3 1.12 1.08 1.16 1.14 1.32 1.24 1.28 1.28 1.32 1.34 1.58 1.6 1.72 1.86 1.76 1.76 1.76 1.76 1.76 1.82 1.56 1.58 1.4 1.4 1.46 1.56 1.52 1.68 1.7 1.72 1.86 1.84 1.96 1.86 1.94 1.86 1.92 1.9 1.74 1.8 1.68 1.7 1.7 1.72 1.5 1.36 1.34 1.22 1.32 1.24 1.3 1.24 1.2 1.2 1.3 1.4 1.3 1.28 1.24 1.2 1.14 1.2 1.16 1.16 1.08 1.2 1.4 1.42 1.38 1.44 1.42 1.34
"was" 0.38 0.38 0.34 0.32 0.34 0.22 0.26 0.34 0.36 0.34 0.36 0.42 0.44 0.48 0.46 0.46 0.44 0.54 0.5 0.6 0.62 0.56 0.64 0.68 0.86 0.84 0.8 0.74 0.72 0.76 0.72 0.7 0.58 0.48 0.36 0.4 0.42 0.3 0.34 0.24 0.28 0.34 0.4 0.46 0.5 0.56 0.64 0.66 0.72 0.7 0.78 0.76 0.86 0.84 0.78 0.7 0.64 0.64 0.62 0.72 0.66 0.68 0.6 0.62 0.68 0.86 0.88 0.92 0.9 0.92 0.86 0.8 0.76 0.78 0.76 0.56 0.54 0.56 0.56 0.5 0.62 0.62 0.62 0.54 0.6 0.66 0.7 0.72 0.76 0.88 0.82 0.86 0.86 0.9 0.8 0.74 0.74 0.68 0.72 0.54 0.48 0.48 0.48 0.54 0.52 0.52 0.5 0.56 0.52 0.54 0.58 0.56 0.6 0.58 0.64 0.66 0.74 0.82 0.88 0.96 1.16 1.3 1.38 1.48 1.42
"ihm" 0.3 0.34 0.3 0.26 0.32 0.44 0.68 0.66 0.8 0.82 0.78 0.84 0.88 0.96 0.98 0.92 0.72 0.72 0.68 0.62 0.64 0.54 0.52 0.46 0.38 0.38 0.34 0.32 0.24 0.26 0.2 0.24 0.26 0.24 0.28 0.28 0.4 0.56 0.62 0.68 0.74 0.8 0.78 0.8 0.84 0.8 0.72 0.56 0.48 0.4 0.34 0.26 0.32 0.34 0.32 0.34 0.3 0.34 0.4 0.48 0.5 0.54 0.5 0.48 0.5 0.54 0.6 0.62 0.58 0.52 0.58 0.7 0.68 0.7 0.68 0.62 0.62 0.58 0.56 0.56 0.54 0.4 0.5 0.52 0.52 0.52 0.52 0.62 0.68 0.7 0.66 0.66 0.54 0.56 0.52 0.54 0.46 0.36 0.34 0.32 0.4 0.46 0.5 0.46 0.5 0.56 0.6 0.62 0.62 0.72 0.6 0.54 0.48 0.44 0.44 0.34 0.38 0.48 0.5 0.38 0.44 0.42 0.46 0.56 0.52
"noch" 0.44 0.5 0.5 0.54 0.54 0.58 0.6 0.52 0.54 0.54 0.54 0.46 0.48 0.46 0.48 0.5 0.48 0.52 0.5 0.56 0.56 0.6 0.62 0.7 0.64 0.52 0.48 0.48 0.46 0.36 0.38 0.42 0.42 0.4 0.44 0.46 0.48 0.44 0.52 0.58 0.52 0.46 0.44 0.48 0.48 0.56 0.64 0.7 0.76 0.86 0.94 0.98 0.94 0.86 0.86 0.8 0.78 0.76 0.66 0.62 0.56 0.52 0.58 0.58 0.54 0.58 0.5 0.5 0.5 0.54 0.54 0.52 0.48 0.48 0.5 0.44 0.42 0.4 0.4 0.26 0.26 0.3 0.28 0.26 0.3 0.3 0.42 0.5 0.52 0.52 0.54 0.52 0.54 0.5 0.44 0.46 0.36 0.32 0.3 0.32 0.28 0.28 0.32 0.34 0.34 0.32 0.36 0.36 0.42 0.48 0.5 0.48 0.4 0.46 0.56 0.58 0.58 0.58 0.5 0.46 0.42 0.44 0.48 0.44 0.4
